fanhan-	vâhen	fangen
finþan-	vinden	finden
fleuhan-	vlièhen	fliehen
fraleusan-	verlièsen	verlieren
freusan-	vrièsen	frieren
fīsan-	vîsen	
ganesan-	genesen	genesen
gasehwan-	gesëhen	gesehen
gawahwan-	wænen	wähnen
habjan-	hèben	heben
hanhan-	hengen	hängen
hanhan-	hâhen	hangen
hlaþan-	laden	laden
hneusan-	nièsen	niesen
hreþan-	reden	reden
jehan-	jëhen	jëhen
jesan-	jësen	jäsen
keusan-	kièsen	kiesen
kweþan-	quëden	
lesan-	lësen	lesen
leusan-	lièsen	lieren
līhwan-	lîhen	leihen
līþan-	lîden	leiden
mīþan-	mîden	meiden
nesan-		nesen
rīhan-	rîhen	reihen
rīsan-	rîsen	reisen
sehwan-	sièn	sehen
seuþan-	sièden	sieden
skaiþan-	schîden	scheiden
skrīþan-	schrîten	schreiten
slahan-	slahen	schlagen
sneufan-		schnauben
snīþan-	snîden	schneiden
sprīþan-	sprîten	
streþan-	strîten	streden
sīhwan-	sîhen	seihen
teuhan-	zièhen	ziehen
tīhan-	zîhen	zeihen
uzsehwan-	ersehen	ersehen
werþan-	werden	werden
wesan-	wësen	sein
wrīhan-	rîgen	reihen
wrīþan-	rîden	reiden
þinhan-	dîhen	deihen
þinsan-	dinsen	
þrinhwan-	dringen	dringen
þwinhan-	dwingen	zwingen